SMS,Nasty Words,Commercial Words,Phone Number,Address Words,Numbers,Class
"hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?""",0,1,0,1,0,0
i see a cup of coffee animation,0,1,0,0,0,0
please don't text me anymore. i have nothing else to say.,0,1,0,1,0,0
okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,1,1,0,0,0,0
i'm still looking for a car to buy. and have not gone 4the driving test yet.,0,1,0,1,1,0
as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,0,1,0,1,1,0
"wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston.",0,1,0,1,0,0
umma my life and vava umma love you lot dear,0,1,0,0,0,0
thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.,0,1,0,0,0,0
"aight, i'll hit you up when i get some cash",0,1,0,0,0,0
how would my ip address test that considering my computer isn't a minecraft server,0,1,0,1,0,0
i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...,0,1,0,1,0,0
dont worry. i guess he's busy.,0,1,0,0,0,0
what is the plural of the noun research?,0,1,0,1,0,0
going for dinner.msg you after.,0,1,0,0,0,0
i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.,0,1,0,1,1,0
gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,0,1,0,1,1,1
"wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?",0,1,0,0,0,0
"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",0,1,0,0,1,0
you are a winner u have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,0,1,0,0,1,1
goodo! yes we must speak friday - egg-potato ratio for tortilla needed! ,0,1,0,1,0,0
hmm...my uncle just informed me that he's paying the school directly. so pls buy food.,0,1,0,1,0,0
private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires,0,1,0,1,1,1
"urgent! your mobile no. was awarded £2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm",0,1,0,1,1,1
here is my new address -apples&pairs&all that malarky,0,1,0,1,0,0
todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app,0,1,0,1,1,1
i am going to sao mu today. will be done only at 12 ,0,1,0,0,1,0
ü predict wat time ü'll finish buying?,0,1,0,0,0,0
"good stuff, will do.",0,0,0,1,0,0
"just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise.",0,1,0,1,0,0
are you there in room.,0,1,0,0,0,0
hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx,1,1,0,1,0,0
k..k:)how much does it cost?,0,0,0,1,0,0
i'm home.,0,0,0,0,0,0
"dear, will call tmorrow.pls accomodate.",0,1,0,1,0,0
first answer my question.,0,1,0,1,0,0
sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone,0,1,0,1,1,1
want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p,0,1,0,1,1,1
i only haf msn. it's yijue@hotmail.com,1,1,0,1,0,0
he is there. you call and meet him,0,1,0,0,0,0
no no. i will check all rooms befor activities,0,1,0,1,0,0
you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again,0,1,0,1,1,1
got c... i lazy to type... i forgot ü in lect... i saw a pouch but like not v nice...,1,1,0,1,0,0
"k, text me when you're on the way",0,1,0,0,0,0
"sir, waiting for your mail.",0,1,0,0,0,0
"a swt thought: ""nver get tired of doing little things 4 lovable persons.."" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8",0,1,0,1,1,0
i know you are. can you pls open the back?,0,1,0,1,0,0
yes see ya not on the dot,0,0,0,1,0,0
whats the staff name who is taking class for us?,1,1,0,1,0,0
"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end",1,1,0,1,1,1
ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,1,0,0,0,0
k..i deleted my contact that why?,0,0,0,0,0,0
sindu got job in birla soft ..,0,1,0,0,0,0
the wine is flowing and i'm i have nevering..,0,1,0,0,0,0
yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,1,0,1,1,0
ok... ur typical reply...,0,1,0,0,0,0
as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,0,1,0,1,1,0
"you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",1,1,0,1,0,0
aaooooright are you at work?,0,1,0,0,0,0
i'm leaving my house now...,0,1,0,1,0,0
"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?",0,1,0,0,0,0
customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery,0,1,0,1,1,1
you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0,1,0,0,1,1
keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life,0,1,0,0,0,0
new car and house for my parents.:)i have only new job in hand:),0,1,0,0,0,0
i'm so in love with you. i'm excited each day i spend with you. you make me so happy.,0,1,0,0,0,0
-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468,0,1,0,1,1,1
"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu",0,1,0,1,1,1
i place all ur points on e cultures module already.,0,1,0,0,0,0
urgent! we are trying to contact you. last weekends draw shows that you have won a £900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only,0,1,0,1,1,1
"hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,1,0,1,0,0
great escape. i fancy the bridge but needs her lager. see you tomo ,0,1,0,0,0,0
yes :)it completely in out of form:)clark also utter waste.,0,1,0,1,0,0
"sir, i need axis bank account no and bank address.",0,1,0,1,0,0
"hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao... ",0,1,0,0,1,0
what time you coming down later? ,0,1,0,1,0,0
"bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m... ",0,1,0,1,0,0
"well, i'm gonna finish my bath now. have a good...fine night.",1,1,0,1,0,0
let me know when you've got the money so carlos can make the call,0,1,0,1,0,0
u still going to the mall?,0,1,0,1,0,0
"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,1,0,1,0,0
text her. if she doesnt reply let me know so i can have her log in,0,1,0,1,0,0
hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,0,1,0,1,0,0
you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend,0,1,0,1,1,0
lol no. u can trust me.,0,1,0,1,0,0
ok. i am a gentleman and will treat you with dignity and respect.,0,1,0,0,0,0
"he will, you guys close?",0,0,0,0,0,0
going on nothing great.bye,0,1,0,1,0,0
hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?,1,1,0,1,0,0
"haha awesome, be there in a minute",0,1,0,0,0,0
please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,0,1,0,1,1,1
have you got xmas radio times. if not i will get it now,0,1,0,1,0,0
i jus reached home. i go bathe first. but my sis using net tell u when she finishes k...,1,1,0,1,0,0
are you unique enough? find out from 30th august. www.areyouunique.co.uk,0,1,0,1,1,1
i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|,0,1,0,1,0,0
hi :)finally i completed the course:),0,1,0,1,0,0
it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool.,0,1,0,1,0,0
how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day,0,1,0,1,1,0
gud mrng dear hav a nice day,0,1,0,0,0,0
did u got that persons story,0,1,0,1,0,0
is your hamster dead? hey so tmr i meet you at 1pm orchard mrt? ,0,1,0,1,1,0
hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx,1,1,0,0,0,0
"found it, enc  &lt;#&gt; , where you at?",0,1,0,0,0,0
i sent you  &lt;#&gt;  bucks,0,1,0,0,0,0
hello darlin ive finished college now so txt me when u finish if u can love kate xxx,1,1,0,1,0,0
your account has been refilled successfully by inr  &lt;decimal&gt; . your keralacircle prepaid account balance is rs  &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .,0,1,0,1,0,0
goodmorning sleeping ga.,0,1,0,0,0,0
u call me alter at 11 ok.,0,1,0,0,1,0
ü say until like dat i dun buy ericsson oso cannot oredi lar...,0,1,0,1,0,0
"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",0,1,0,0,1,0
"aight yo, dats straight dogg",0,1,0,1,0,0
you please give us connection today itself before  &lt;decimal&gt;  or refund the bill,0,1,0,1,0,0
both :) i shoot big loads so get ready!,0,1,0,0,0,0
"what's up bruv, hope you had a great break. do have a rewarding semester.",0,1,0,1,0,0
home so we can always chat,0,0,0,0,0,0
k:)k:)good:)study well.,0,0,0,1,0,0
yup... how ü noe leh...,0,0,0,1,0,0
sounds great! are you home now?,0,1,0,1,0,0
finally the match heading towards draw as your prediction.,0,1,0,0,0,0
tired. i haven't slept well the past few nights.,0,1,0,1,0,0
easy ah?sen got selected means its good..,0,0,0,0,0,0
i have to take exam with march 3,0,1,0,1,1,0
yeah you should. i think you can use your gt atm now to register. not sure but if there's anyway i can help let me know. but when you do be sure you are ready.,0,1,0,1,0,0
ok no prob. take ur time.,0,1,0,1,0,0
there is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,1,0,1,0,0
"sorry, i'll call later",0,1,0,0,0,0
u say leh... of course nothing happen lar. not say v romantic jus a bit only lor. i thk e nite scenery not so nice leh.,0,1,0,1,0,0
"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",0,1,0,1,1,1
would really appreciate if you call me. just need someone to talk to.,0,1,0,1,0,0
"will u meet ur dream partner soon? is ur career off 2 a flyng start? 2 find out free, txt horo followed by ur star sign, e. g. horo aries",0,1,0,1,1,1
hey company elama po mudyadhu.,0,0,0,1,0,0
"life is more strict than teacher... bcoz teacher teaches lesson &amp; then conducts exam, but life first conducts exam &amp; then teaches lessons. happy morning. . .",0,1,0,1,0,0
dear good morning now only i am up,0,1,0,1,0,0
get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right.,0,1,0,1,0,0
dear we are going to our rubber place,0,1,0,0,0,0
"sorry battery died, yeah i'm here",0,1,0,0,0,0
yes:)here tv is always available in work place..,0,1,0,0,0,0
text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence,1,1,0,1,1,1
i have printed it oh. so  &lt;#&gt;  come upstairs,0,1,0,1,0,0
or ill be a little closer like at the bus stop on the same street,1,1,0,1,0,0
where are you?when wil you reach here?,0,1,0,0,0,0
"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!",0,1,0,1,0,0
u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597,0,1,0,0,1,1
tomarrow final hearing on my laptop case so i cant.,0,1,0,1,0,0
pleassssssseeeeee tel me v avent done sportsx,1,1,0,0,0,0
"okay. no no, just shining on. that was meant to be signing, but that sounds better.",0,1,0,1,0,0
"although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. thanx 4 everything dat u've done today, i'm touched...",0,1,0,1,1,0
u don't remember that old commercial?,0,1,0,1,0,0
too late. i said i have the website. i didn't i have or dont have the slippers,0,1,0,0,0,0
i asked you to call him now ok,0,1,0,1,0,0
kallis wont bat in 2nd innings.,0,1,0,0,1,0
it didnt work again oh. ok goodnight then. i.ll fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep.,0,1,0,0,0,0
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,0,1,0,1,1,1
ranjith cal drpd deeraj and deepak 5min hold,0,1,0,0,1,0
"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da.",1,1,0,1,0,0
what you doing?how are you?,0,1,0,0,0,0
"ups which is 3days also, and the shipping company that takes 2wks. the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0,1,0,1,1,0
"i'm back, lemme know when you're ready",0,1,0,1,0,0
don't necessarily expect it to be done before you get back though because i'm just now headin out,0,1,0,1,0,0
mmm so yummy babe ... nice jolt to the suzy,0,1,0,0,0,0
where are you lover ? i need you ...,0,1,0,0,0,0
we tried to contact you re your reply to our offer of a video handset? 750 anytime networks mins? unlimited text? camcorder? reply or call 08000930705 now,0,1,0,1,1,1
i‘m parked next to a mini!!!! when are you coming in today do you think?,0,1,0,1,0,0
yup,0,0,0,0,0,0
anyway i'm going shopping on my own now. cos my sis not done yet. dun disturb u liao.,0,1,0,1,0,0
my no. in luton 0125698789 ring me if ur around! h*,0,1,0,1,1,0
hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1,1,0,1,1,1
why you dint come with us.,0,0,0,1,0,0
same. wana plan a trip sometme then,0,1,0,0,0,0
"not sure yet, still trying to get a hold of him",0,1,0,1,0,0
ur ringtone service has changed! 25 free credits! go to club4mobiles.com to choose content now! stop? txt club stop to 87070. 150p/wk club4 po box1146 mk45 2wt,0,1,0,1,1,1
the evo. i just had to download flash. jealous?,0,0,0,1,0,0
ringtone club: get the uk singles chart on your mobile each week and choose any top quality ringtone! this message is free of charge.,0,1,0,0,0,1
"come to mu, we're sorting out our narcotics situation",0,1,0,1,0,0
"night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay.",0,1,0,1,0,0
hmv bonus special 500 pounds of genuine hmv vouchers to be won. just answer 4 easy questions. play now! send hmv to 86688 more info:www.100percent-real.com,0,1,0,1,1,1
"usf i guess, might as well take 1 car",0,1,0,0,1,0
no objection. my bf not coming.,0,0,0,1,0,0
thanx...,0,0,0,0,0,0
tell rob to mack his gf in the theater,0,1,0,0,0,0
"awesome, i'll see you in a bit",0,0,0,0,0,0
just sent it. so what type of food do you like?,0,0,0,1,0,0
all done? all handed in? celebrations in full swing yet?,0,1,0,0,0,0
you got called a tool?,0,1,0,0,0,0
"""wen u miss someone, the person is definitely special for u..... but if the person is so special, why to miss them, just keep-in-touch"" gdeve..",0,1,0,1,0,0
ok. i asked for money how far,0,1,0,0,0,0
okie...,0,0,0,0,0,0
"yeah i think my usual guy's still passed out from last night, if you get ahold of anybody let me know and i'll throw down",1,1,0,1,0,0
"k, i might come by tonight then if my class lets out early",1,1,0,1,0,0
ok..,0,0,0,0,0,0
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,1,1,0,1,1,0
"my life means a lot to me, not because i love my life, but because i love the people in my life, the world calls them friends, i call them my world:-).. ge:-)..",0,1,0,1,0,0
"dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0,1,0,1,0,0
hey you told your name to gautham ah?,0,1,0,0,0,0
haf u found him? i feel so stupid da v cam was working.,0,1,0,1,0,0
oops. 4 got that bit.,0,0,0,0,1,0
are you this much buzy,0,1,0,0,0,0
i accidentally deleted the message. resend please.,0,1,0,0,0,0
t-mobile customer you may now claim your free camera phone upgrade & a pay & go sim card for your loyalty. call on 0845 021 3680.offer ends 28thfeb.t&c's apply,0,1,0,1,1,1
unless it's a situation where you go gurl would be more appropriate,0,1,0,0,0,0
hurt me... tease me... make me cry... but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u.. have a nice day bslvyl,0,1,0,1,0,0
i cant pick the phone right now. pls send a message,0,1,0,1,0,0
need a coffee run tomo?can't believe it's that time of week already,0,1,0,0,0,0
"awesome, i remember the last time we got somebody high for the first time with diesel :v",0,1,0,1,0,0
"shit that is really shocking and scary, cant imagine for a second. def up for night out. do u think there is somewhere i could crash for night, save on taxi?",1,1,0,0,0,0
oh and by the way you do have more food in your fridge! want to go out for a meal tonight? ,0,1,0,0,0,0
he is a womdarfull actor,0,1,0,0,0,0
"sms. ac blind date 4u!: rodds1 is 21/m from aberdeen, united kingdom. check him out http://img. sms. ac/w/icmb3cktz8r7!-4 no blind dates send hide",0,1,0,1,1,1
yup... from what i remb... i think should be can book... ,0,1,0,0,0,0
jos ask if u wana meet up?,0,0,0,0,0,0
lol yes. our friendship is hanging on a thread cause u won't buy stuff.,0,1,0,1,0,0
"themob> check out our newest selection of content, games, tones, gossip, babes and sport, keep your mobile fit and funky text wap to 82468",0,1,0,1,1,1
where are the garage keys? they aren't on the bookshelf,0,1,0,0,0,0
today is accept day..u accept me as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,0,1,0,1,1,0
"think ur smart ? win £200 this week in our weekly quiz, text play to 85222 now!t&cs winnersclub po box 84, m26 3uz. 16+. gbp1.50/week",0,1,0,1,1,1
he says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0,1,0,0,0,0
"hi the way i was with u 2day, is the normal way&this is the real me. ur unique&i hope i know u 4 the rest of mylife. hope u find wot was lost.",0,1,0,1,1,0
you made my day. do have a great day too.,0,1,0,0,0,0
k.k:)advance happy pongal.,0,0,0,0,0,0
"hmmm... guess we can go 4 kb n power yoga... haha, dunno we can tahan power yoga anot... thk got lo oso, forgot liao...",0,1,0,1,1,0
